,n_min,n_genes_inclus,n_patients,variable,statistique_H,p_value,epsilon2
0,3,8,33,fréquence des crises,7.5122994652406305,0.37755302424550413,0.02049197860962522
1,3,8,33,âge de début des crises,6.2916221033868,0.5061405638024602,-0.028335115864528006
2,3,8,33,type de crise (ILAE 2017),16.480701754385965,0.2849077550554185,0.18171803018722912
3,5,4,21,fréquence des crises,2.088311688311677,0.5542810053037968,-0.053628724216960175
4,5,4,21,âge de début des crises,1.3948051948052012,0.7067528730750325,-0.09442322383498816
5,5,4,21,type de crise (ILAE 2017),9.216666666666667,0.16175455034082953,0.2777777777777778
6,8,0,0,fréquence des crises,,,
7,8,0,0,âge de début des crises,,,
8,10,0,0,fréquence des crises,,,
9,10,0,0,âge de début des crises,,,
