chapter,code,title,classKind,parent_code,uri,definition
06,06,"Troubles mentaux, comportementaux ou neurodéveloppementaux",chapter,,http://id.who.int/icd/release/11/2024-01/mms/334423054,"Troubles mentaux, comportementaux et neurodéveloppementaux caractérisés par des syndromes de troubles cliniques significatifs des fonctions cognitives, de la régulation émotionnelle, ou du comportement qui reflètent un dysfonctionnement des processus psychologiques, biologiques ou développementaux sous-jacents du fonctionnement mental et comportemental. Ces troubles sont généralement associés à une détresse ou à une altération des domaines personnel, familial, social, scolaire, professionnel ou d’autres domaines de fonctionnement importants."
06,,Troubles neurodéveloppementaux,block,06,http://id.who.int/icd/release/11/2024-01/mms/1516623224,"Troubles neurodéveloppementaux correspondant à des troubles comportementaux et cognitifs qui se produisent durant la période de développement et provoquent d’importantes difficultés d’acquisition et d’exécution de fonctions spécifiques intellectuelles, motrices, de langage ou sociales. Même si les déficits comportementaux et cognitifs sont présents dans de nombreux troubles mentaux et comportementaux qui peuvent survenir au cours de la période de développement (par exemple, Schizophrénie, Trouble bipolaire), seuls les troubles dont les caractéristiques principales sont neurodéveloppementales sont inclus dans ce groupe. L'étiologie présumée des troubles neurodéveloppementaux est complexe et, pour de nombreux sujets, elle est inconnue."
06,6A00,Troubles du développement intellectuel,category,,http://id.who.int/icd/release/11/2024-01/mms/605267007,"Les troubles du développement intellectuel sont un groupe d’affections étiologiques diverses qui apparaissent au cours de la période de développement et qui se caractérisent par un fonctionnement intellectuel et un comportement adaptatif significativement inférieurs à la moyenne, d’environ deux écarts-types ou plus en dessous de la moyenne (inférieurs au 2,3e percentile environ), sur la base de tests convenablement normalisés et administrés individuellement. En l’absence de tests convenablement normalisés et standardisés, le diagnostic des troubles du développement intellectuel doit reposer davantage sur un jugement clinique fondé sur une évaluation appropriée d'indicateurs comportementaux comparables."
06,6A00.0,"Trouble du développement intellectuel, léger",category,6A00,http://id.who.int/icd/release/11/2024-01/mms/1207960454,"Le trouble léger du développement intellectuel est une affection qui apparaît au cours de la période de développement et qui se caractérise par un fonctionnement intellectuel et un comportement adaptatif significativement inférieurs à la moyenne, d’environ deux à trois écarts-types en dessous de la moyenne (0,1ème au 2,3ème percentile environ), sur la base de tests convenablement normalisés et administrés individuellement ou d’indicateurs comportementaux équivalents lorsque les tests normalisés ne sont pas disponibles. Les personnes affectées présentent souvent des difficultés d’acquisition et de compréhension des concepts langagiers complexes et des compétences scolaires. La plupart maîtrisent les activités de soins personnels, domestiques et pratiques de base. Les personnes affectées par un trouble léger du développement intellectuel parviennent généralement à travailler et à vivre de façon relativement indépendante à l’âge adulte mais peuvent nécessiter un soutien approprié."
06,6A00.1,"Trouble du développement intellectuel, modéré",category,6A00,http://id.who.int/icd/release/11/2024-01/mms/759942676,"Le trouble modéré du développement intellectuel est une affection qui apparaît au cours de la période de développement et qui se caractérise par un fonctionnement intellectuel et un comportement adaptatif significativement inférieurs à la moyenne, d’environ trois à quatre écarts-types en dessous de la moyenne (0,003ème au 0,1ème percentile environ), sur la base de tests convenablement normalisés et administrés individuellement ou d’indicateurs comportementaux équivalents lorsque les tests normalisés ne sont pas disponibles. Le langage et la capacité d’acquisition des compétences scolaires des personnes affectées par un trouble modéré du développement intellectuel varient mais se limitent généralement aux compétences de base. Certains maîtrisent les activités de soins personnels, domestiques et pratiques de base. La plupart des personnes affectées nécessitent un soutien considérable et constant afin de parvenir à travailler et à vivre de façon indépendante à l’âge adulte."
06,6A00.2,"Trouble du développement intellectuel, sévère",category,6A00,http://id.who.int/icd/release/11/2024-01/mms/1508286189,"Un trouble sévère du développement intellectuel est une affection qui apparait durant la période de développement caractérisé par un fonctionnement intellectuel et un comportement adaptatif significativement inférieurs à la moyenne, d’environ quatre écarts-types ou plus en dessous de la moyenne (inférieur au 0,003e percentile environ), sur la base de tests convenablement normalisés et administrés individuellement ou d'indicateurs comportementaux équivalents lorsque les tests normalisés ne sont pas disponibles. Les personnes affectées présentent une capacité de langage et d’acquisition de compétences scolaires très limitée. Elles peuvent également présenter des déficiences motrices et ont généralement besoin d'un soutien quotidien dans un environnement surveillé pouvant les prendre en charge de façon adéquate, mais peuvent acquérir une autonomie élémentaire à la suite d’une formation intensive. Les troubles sévères et très sévères du développement intellectuel se différencient exclusivement par les différences de comportement adaptatif car les tests d’intelligence normalisés existants ne peuvent pas distinguer de façon fiable ou valable les sujets dont le fonctionnement intellectuel est inférieur à 0,003e percentile."
06,6A00.3,"Trouble du développement intellectuel, profond",category,6A00,http://id.who.int/icd/release/11/2024-01/mms/1017992057,"Le trouble très sévère du développement intellectuel est un état qui apparaît au cours de la période de développement et qui se caractérise par un fonctionnement intellectuel et un comportement adaptatif nettement inférieurs à la moyenne, d’environ quatre écarts-types ou plus en dessous de la moyenne (inférieur au 0,003ème percentile environ), sur la base de tests convenablement normalisés et administrés individuellement ou d’indicateurs comportementaux équivalents lorsque les tests normalisés ne sont pas disponibles. Les personnes affectées possèdent des facultés de communication très limitées et la capacité d’acquisition des compétences scolaires est limitée aux compétences concrètes de base. Elles peuvent également présenter des troubles moteurs et sensoriels concomitants et nécessitent généralement un soutien quotidien dans un environnement surveillé pour une prise en charge adéquate. Les troubles sévères et très sévères du développement intellectuel se différencient exclusivement par les différences de comportement adaptatif car les tests d’intelligence normalisés existants ne peuvent pas distinguer de façon fiable ou valable les sujets dont le fonctionnement intellectuel est inférieur au 0,003ème percentile."
06,6A00.4,"Trouble du développement intellectuel, provisoire",category,6A00,http://id.who.int/icd/release/11/2024-01/mms/1074941350,"Trouble du développement intellectuel, provisoire attribué en présence de signes évidents de trouble du développement intellectuel mais chez un nourrisson ou un enfant de moins de quatre ans ou lorsqu’il est impossible de réaliser une évaluation valable du fonctionnement intellectuel et du comportement adaptatif en raison d’altérations sensorielles ou physiques (par exemple, cécité, surdité pré-linguale), d’altérations motrices ou de communication, de comportements problématiques sévères ou de troubles mentaux et comportementaux concomitants."
06,6A00.Z,"Troubles du développement intellectuel, sans précision",category,6A00,http://id.who.int/icd/release/11/2024-01/mms/605267007/unspecified,
06,6A01,Troubles du développement de la parole ou du langage,category,,http://id.who.int/icd/release/11/2024-01/mms/33269655,"Les troubles développementaux du langage ou de la parole se produisent au cours de la période du développement et se caractérisent par des difficultés de compréhension ou de production de la parole et du langage ou d'utilisation du langage dans un contexte à des fins de communication, qui se situent en dehors des limites de la variation normale attendue pour l'âge et le niveau de fonctionnement intellectuel. Les problèmes de parole et de langage observés ne sont pas attribuables à des différences linguistiques régionales, sociales ou culturelles/ethniques et ne sont pas entièrement expliqués par des anomalies anatomiques ou neurologiques. L'étiologie présumée des troubles du développement de la parole ou du langage est complexe et chez de nombreux sujets, elle est inconnue."
