chapter,code,title,classKind,parent_code,uri,definition
01,01,Certaines maladies infectieuses ou parasitaires,chapter,,http://id.who.int/icd/release/11/2024-01/mms/1435254666,"Ce chapitre comprend certaines affections causées par des organismes pathogènes ou des microorganismes, tels que des bactéries, des virus, des parasites ou des champignons."
01,,Gastroentérite ou colite d'origine infectieuse,block,01,http://id.who.int/icd/release/11/2024-01/mms/588616678,
01,,Infections intestinales bactériennes,block,,http://id.who.int/icd/release/11/2024-01/mms/135352227,"Toute affection des intestins, due à une infection d’origine bactérienne."
01,1A00,Choléra,category,,http://id.who.int/icd/release/11/2024-01/mms/257068234,"Le choléra est une infection intestinale potentiellement épidémique et mortelle, caractérisée par une diarrhée aqueuse extrême (sécrétoire) souvent accompagnée de vomissements, avec une déplétion rapide des liquides organiques et du sel pouvant entraîner un choc hypovolémique et une acidose. Les épidémies de choléra sont causées par des souches toxinogènes de Vibrio cholerae des sérogroupes O1 et O139. Le sérogroupe O1 a deux biovars : classique et eltor. Vibrio cholerae O1, biovar cholerae est de type classique. Vibrio cholerae O1, biovar eltor est de type eltor."
01,1A01,Infection intestinale due à d’autres Vibrio,category,,http://id.who.int/icd/release/11/2024-01/mms/416025325,
01,1A02,Infections intestinales dues à Shigella,category,,http://id.who.int/icd/release/11/2024-01/mms/2080365623,"Maladie due à une infection par les bactéries à Gram négatif du genre Shigella. Cette maladie se caractérise par l'apparition aigüe d'une diarrhée de faible volume, accompagnée de fièvre et de nausées. Cette maladie peut également se manifester par une toxémie, des vomissements, des crampes et un ténesme. La transmission se fait par ingestion d'aliments contaminés ou par contact direct. Confirmation par identification de Shigella dans un échantillon fécal."
01,1A03,Infections intestinales à Escherichia coli,category,,http://id.who.int/icd/release/11/2024-01/mms/344162786,"Toute affection du système gastrointestinal, due à une infection par la bactérie à Gram négatif Escherichia coli."
01,1A03.0,Infection à Escherichia coli entéropathogène,category,1A03,http://id.who.int/icd/release/11/2024-01/mms/2099226249,"Affection du système gastrointestinal, causée par une infection à bactérie à Gram négatif Escherichia coli. Elle est caractérisée par une diarrhée aigüe, abondante et aqueuse. La transmission se fait par voie fécale-orale après ingestion de nourriture, d’eau ou d’un vecteur passif contaminés. Confirmation par identification d’Escherichia coli entéropathogène (EPEC) dans un prélèvement fécal."
01,1A03.1,Infection à Escherichia coli entérotoxinogène,category,1A03,http://id.who.int/icd/release/11/2024-01/mms/408185629,"Anomalie du système gastrointestinal causée par une infection à une bactérie à gram négatif Escherichia coli Cette affection se caractérise par une diarrhée aigüe aqueuse due à des toxines libérées de la bactérie. Transmission par voie fécaleorale par ingestion d'aliments, d'eau ou de fomites contaminés. Confirmation par identification des Escherichia coli présents dans l'échantillon fécal."
01,1A03.2,Infection à Escherichia coli entéro-invasive,category,1A03,http://id.who.int/icd/release/11/2024-01/mms/1828273122,"Affection du système gastro-intestinal causée par une infection à bactérie à gram négatif Escherichia coli Cette affection se caractérise par une diarrhée aigüe et abondante (qui peut être hémorragique), de la fièvre et des crampes abdominales. Transmission par voie orofécale par ingestion de nourriture ou d'eau contaminée. Confirmation par identification des Escherichia coli dans un échantillon fécal."
01,1A03.3,Infection à Escherichia coli entérohémorragique,category,1A03,http://id.who.int/icd/release/11/2024-01/mms/162723448,
